Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
1;tai100_10_0.fsp;100;100;0.7;0.1;5;swap;ox;324127.0;331236.0;327296.7;2411.51;93.392;10000;300566
2;tai100_10_0.fsp;20;500;0.7;0.1;5;swap;ox;324276.0;335865.0;330382.8;3262.17;92.168;10000;300566
3;tai100_10_0.fsp;1000;10;0.7;0.1;5;swap;ox;342726.0;346552.0;344602.9;1477.53;90.77;10000;300566
4;tai100_10_0.fsp;10000;1;0.7;0.1;5;swap;ox;358835.0;364417.0;361473.6;1905.43;83.388;10000;300566
1;tai100_20_0.fsp;100;100;0.7;0.1;5;swap;ox;398937.0;408207.0;404436.0;2741.5;179.086;10000;367267
2;tai100_20_0.fsp;20;500;0.7;0.1;5;swap;ox;402332.0;411199.0;406637.8;3743.87;183.177;10000;367267
3;tai100_20_0.fsp;1000;10;0.7;0.1;5;swap;ox;416916.0;424099.0;421884.1;2058.67;177.992;10000;367267
4;tai100_20_0.fsp;10000;1;0.7;0.1;5;swap;ox;435885.0;441092.0;439011.4;1452.86;169.066;10000;367267
