Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
9;tai500_20_0.fsp;100;100;1;0.0;5;swap;ox;7478639.0;7627611.0;7575187.3;41445.27;1060.226;10000;6697476
10;tai500_20_0.fsp;100;100;1;0.01;5;swap;ox;7528530.0;7583571.0;7558861.3;21023.83;1070.248;10000;6697476
11;tai500_20_0.fsp;100;100;1;0.1;5;swap;ox;7413854.0;7545384.0;7464309.6;43909.96;1069.685;10000;6697476
12;tai500_20_0.fsp;100;100;1;1.0;5;swap;ox;7320732.0;7465969.0;7405428.6;39549.72;1070.132;10000;6697476
