Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
1;tai500_20_0.fsp;100;100;0.7;0.1;5;swap;ox;7500875.0;7608577.0;7536436.2;33531.22;965.183;10000;6697476
2;tai500_20_0.fsp;20;500;0.7;0.1;5;swap;ox;7490765.0;7576741.0;7535204.7;28554.9;970.792;10000;6697476
3;tai500_20_0.fsp;1000;10;0.7;0.1;5;swap;ox;7746411.0;7786773.0;7765615.4;12073.46;959.711;10000;6697476
4;tai500_20_0.fsp;10000;1;0.7;0.1;5;swap;ox;7888137.0;7943570.0;7915677.5;19238.63;839.728;10000;6697476
