Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
19;tai20_5_0.fsp;100;100;1;1;20;swap;ox;14062.0;14251.0;14132.7;69.68;11.409;10000;14033
20;tai20_5_0.fsp;100;100;1;1;20;swap;pmx;14046.0;14287.0;14160.6;70.15;11.171;10000;14033
21;tai20_5_0.fsp;100;100;1;1;20;swap;cx;14034.0;14258.0;14146.3;74.73;10.835;10000;14033
19;tai20_10_0.fsp;100;100;1;1;20;swap;ox;21023.0;21609.0;21228.9;184.67;20.728;10000;20911
20;tai20_10_0.fsp;100;100;1;1;20;swap;pmx;20958.0;21884.0;21325.7;243.52;20.675;10000;20911
21;tai20_10_0.fsp;100;100;1;1;20;swap;cx;21117.0;21686.0;21399.6;183.82;19.473;10000;20911
19;tai20_20_0.fsp;100;100;1;1;20;swap;ox;33623.0;34453.0;34036.5;211.52;36.724;10000;33623
20;tai20_20_0.fsp;100;100;1;1;20;swap;pmx;33812.0;34381.0;34126.5;178.98;37.309;10000;33623
21;tai20_20_0.fsp;100;100;1;1;20;swap;cx;33887.0;34415.0;34097.0;161.31;36.87;10000;33623
