Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
9;tai100_10_0.fsp;100;100;1;0.0;5;swap;ox;329304.0;341982.0;334502.0;4057.82;93.16;10000;300566
10;tai100_10_0.fsp;100;100;1;0.01;5;swap;ox;326378.0;335778.0;331145.4;3223.72;91.567;10000;300566
11;tai100_10_0.fsp;100;100;1;0.1;5;swap;ox;321181.0;330675.0;326455.5;3115.71;91.614;10000;300566
12;tai100_10_0.fsp;100;100;1;1.0;5;swap;ox;322710.0;330083.0;326618.8;2270.6;91.862;10000;300566
9;tai100_20_0.fsp;100;100;1;0.0;5;swap;ox;407525.0;411538.0;409689.2;1218.14;175.273;10000;367267
10;tai100_20_0.fsp;100;100;1;0.01;5;swap;ox;400084.0;410820.0;406938.4;3436.72;174.932;10000;367267
11;tai100_20_0.fsp;100;100;1;0.1;5;swap;ox;397951.0;406257.0;402739.6;2651.99;175.036;10000;367267
12;tai100_20_0.fsp;100;100;1;1.0;5;swap;ox;398659.0;405660.0;401484.8;2604.52;175.408;10000;367267
