Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
17;tai20_5_0.fsp;100;100;1;1;20;swap;ox;14059.0;14232.0;14114.0;61.48;11.522;10000;14033
18;tai20_5_0.fsp;100;100;1;1;20;inversion;ox;14085.0;14222.0;14139.2;51.08;11.625;10000;14033
17;tai20_10_0.fsp;100;100;1;1;20;swap;ox;21011.0;21663.0;21317.4;209.62;20.522;10000;20911
18;tai20_10_0.fsp;100;100;1;1;20;inversion;ox;21012.0;22190.0;21514.5;438.97;21.091;10000;20911
17;tai20_20_0.fsp;100;100;1;1;20;swap;ox;33995.0;34354.0;34132.3;104.5;38.49;10000;33623
18;tai20_20_0.fsp;100;100;1;1;20;inversion;ox;33953.0;34555.0;34243.0;228.18;38.453;10000;33623
