Case_ID;Instance;Initial_temp;Cooling_rate;SA_Best;SA_Worst;SA_Avg;SA_Std;SA_Time(s);SA_NFE_Avg;Best_Known_Value
25;tai20_5_0.fsp;100;0.99;14129.0;14644.0;14363.9;167.81;8.504;10000;14033
26;tai20_5_0.fsp;1000;0.99;14211.0;14544.0;14331.3;101.78;8.462;10000;14033
27;tai20_5_0.fsp;10000;0.99;14080.0;14697.0;14345.4;167.89;8.536;10000;14033
25;tai20_10_0.fsp;100;0.99;21189.0;22335.0;21792.7;401.44;17.052;10000;20911
26;tai20_10_0.fsp;1000;0.99;21434.0;22252.0;21806.5;325.76;17.628;10000;20911
27;tai20_10_0.fsp;10000;0.99;21291.0;22253.0;21773.5;308.15;17.708;10000;20911
25;tai20_20_0.fsp;100;0.99;34096.0;35603.0;34787.1;474.31;34.079;10000;33623
26;tai20_20_0.fsp;1000;0.99;34088.0;34882.0;34436.0;270.61;33.488;10000;33623
27;tai20_20_0.fsp;10000;0.99;34138.0;35071.0;34630.3;297.21;34.009;10000;33623
