Instance;pop_size;generations;Px;Pm;Tour;Mutation_Type;Crossover_Type;elitism;initial_temp;cooling_rate;RS_Best;RS_Worst;RS_Avg;RS_Std;RS_Time(s);RS_NFE;RS_Best_Sequence;GR_Best;GR_Time(s);GR_NFE;GR_Best_Sequence;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;EA_Best_Sequence;SA_Best;SA_Worst;SA_Avg;SA_Std;SA_Time(s);SA_NFE_Avg;SA_Best_Sequence;Best_Known_Value
tai20_5_0.fsp;100;100;1;1;20;swap;pmx;0;1000;0.999;15238.0;15670.0;15496.5;151.18;12.152;10000;[14, 16, 13, 7, 2, 12, 15, 0, 8, 6, 4, 19, 3, 10, 1, 17, 11, 5, 18, 9];16384.0;0.012;1;[2, 12, 11, 16, 7, 19, 13, 14, 6, 0, 8, 9, 17, 18, 5, 1, 15, 4, 3, 10];14034.0;14337.0;14147.2;96.68;16.525;10000;[2, 16, 8, 14, 12, 13, 15, 7, 18, 5, 6, 0, 1, 3, 4, 17, 19, 11, 10, 9];14060.0;14358.0;14222.2;116.25;12.154;10000;[2, 16, 8, 14, 13, 7, 18, 12, 0, 1, 6, 15, 5, 3, 4, 17, 19, 11, 10, 9];14033
tai20_10_0.fsp;100;100;1;1;20;swap;pmx;0;1000;0.999;22757.0;23342.0;23047.5;236.25;24.568;10000;[17, 3, 4, 2, 1, 11, 9, 0, 16, 12, 19, 5, 13, 10, 15, 14, 6, 7, 18, 8];25691.0;0.017;1;[15, 0, 1, 2, 17, 5, 3, 6, 10, 16, 9, 14, 19, 11, 8, 12, 7, 18, 13, 4];20967.0;21625.0;21286.4;230.5;26.727;10000;[17, 4, 3, 1, 2, 15, 16, 8, 14, 10, 0, 19, 6, 5, 13, 18, 7, 12, 11, 9];21116.0;22012.0;21455.6;297.82;23.528;10000;[17, 4, 3, 1, 8, 2, 15, 16, 14, 19, 10, 0, 11, 6, 5, 13, 18, 7, 12, 9];20911
tai20_20_0.fsp;100;100;1;1;20;swap;pmx;0;1000;0.999;35588.0;36298.0;36045.5;230.21;52.156;10000;[2, 17, 4, 9, 19, 11, 3, 14, 18, 16, 0, 15, 12, 6, 1, 8, 13, 10, 5, 7];35670.0;0.037;1;[18, 2, 3, 16, 0, 4, 17, 6, 8, 5, 9, 19, 1, 13, 11, 7, 14, 12, 10, 15];33902.0;34411.0;34114.7;166.68;53.827;10000;[15, 17, 13, 6, 4, 18, 2, 9, 11, 8, 14, 0, 19, 3, 16, 1, 5, 10, 12, 7];33901.0;34356.0;34187.7;155.55;50.373;10000;[15, 17, 4, 18, 2, 9, 3, 6, 14, 0, 16, 5, 19, 11, 8, 1, 10, 12, 13, 7];33623
tai20_5_0.fsp;100;100;1;1;20;swap;pmx;0;1000;0.999;15259.0;15759.0;15460.2;149.82;13.075;10000;[14, 8, 2, 13, 5, 19, 16, 7, 17, 11, 3, 1, 12, 0, 18, 6, 10, 9, 15, 4];16384.0;0.008;1;[2, 12, 11, 16, 7, 19, 13, 14, 6, 0, 8, 9, 17, 18, 5, 1, 15, 4, 3, 10];14072.0;14283.0;14161.5;66.78;16.034;10000;[2, 16, 8, 14, 13, 7, 15, 12, 0, 18, 5, 6, 10, 4, 17, 11, 1, 3, 9, 19];14077.0;14369.0;14165.3;91.28;11.27;10000;[2, 16, 8, 14, 7, 12, 11, 18, 13, 15, 5, 0, 1, 6, 10, 4, 3, 9, 19, 17];14033
tai20_10_0.fsp;100;100;1;1;20;swap;pmx;0;1000;0.999;22398.0;23257.0;23038.0;255.12;24.277;10000;[17, 4, 3, 6, 1, 8, 2, 14, 11, 16, 9, 13, 0, 15, 12, 19, 5, 10, 7, 18];25691.0;0.016;1;[15, 0, 1, 2, 17, 5, 3, 6, 10, 16, 9, 14, 19, 11, 8, 12, 7, 18, 13, 4];21019.0;21651.0;21366.3;228.84;26.296;10000;[17, 4, 3, 1, 2, 15, 16, 8, 14, 10, 0, 19, 11, 6, 5, 7, 13, 18, 12, 9];21086.0;22058.0;21458.1;270.24;23.194;10000;[17, 3, 1, 8, 2, 16, 4, 11, 6, 14, 15, 10, 0, 5, 18, 7, 19, 13, 12, 9];20911
tai20_20_0.fsp;100;100;1;1;20;swap;pmx;0;1000;0.999;35912.0;36362.0;36163.7;137.5;49.27;10000;[17, 18, 11, 0, 4, 13, 2, 6, 5, 14, 9, 8, 12, 19, 10, 16, 1, 3, 15, 7];35670.0;0.036;1;[18, 2, 3, 16, 0, 4, 17, 6, 8, 5, 9, 19, 1, 13, 11, 7, 14, 12, 10, 15];33940.0;34432.0;34166.8;168.75;50.989;10000;[15, 17, 4, 18, 2, 9, 11, 3, 6, 8, 14, 5, 16, 0, 19, 1, 13, 10, 12, 7];34039.0;34542.0;34273.6;210.15;43.453;10000;[15, 17, 13, 6, 4, 18, 14, 3, 0, 19, 2, 9, 8, 1, 16, 5, 10, 11, 12, 7];33623
tai20_5_0.fsp;100;1000;1;1;20;swap;pmx;0;1000;0.999;15020.0;15366.0;15195.0;119.97;116.009;100000;[8, 16, 2, 14, 0, 1, 5, 18, 12, 3, 13, 9, 11, 7, 15, 10, 17, 6, 19, 4];16384.0;0.008;1;[2, 12, 11, 16, 7, 19, 13, 14, 6, 0, 8, 9, 17, 18, 5, 1, 15, 4, 3, 10];14034.0;14097.0;14064.7;18.04;169.191;100000;[2, 16, 8, 14, 12, 13, 15, 7, 18, 5, 6, 0, 1, 3, 4, 17, 19, 11, 10, 9];14088.0;14345.0;14197.0;101.65;117.308;100000;[2, 16, 8, 14, 13, 7, 1, 12, 11, 0, 18, 5, 6, 10, 4, 19, 15, 3, 9, 17];14033
tai20_10_0.fsp;100;1000;1;1;20;swap;pmx;0;1000;0.999;22444.0;22928.0;22821.1;151.88;268.923;100000;[17, 4, 1, 8, 2, 0, 15, 16, 12, 14, 7, 11, 6, 5, 18, 13, 10, 3, 9, 19];25691.0;0.033;1;[15, 0, 1, 2, 17, 5, 3, 6, 10, 16, 9, 14, 19, 11, 8, 12, 7, 18, 13, 4];20967.0;21536.0;21135.8;170.51;387.667;100000;[17, 4, 3, 1, 2, 15, 16, 8, 14, 10, 0, 19, 6, 5, 13, 18, 7, 12, 11, 9];21117.0;21741.0;21327.6;171.99;278.148;100000;[17, 4, 3, 1, 2, 15, 16, 18, 8, 19, 10, 0, 11, 6, 5, 13, 7, 12, 14, 9];20911
tai20_20_0.fsp;100;1000;1;1;20;swap;pmx;0;1000;0.999;35250.0;35886.0;35708.6;182.63;457.406;100000;[15, 3, 17, 4, 14, 5, 2, 9, 6, 18, 8, 0, 11, 13, 16, 1, 12, 19, 10, 7];35670.0;0.041;1;[18, 2, 3, 16, 0, 4, 17, 6, 8, 5, 9, 19, 1, 13, 11, 7, 14, 12, 10, 15];33623.0;34007.0;33866.0;129.65;460.963;100000;[15, 17, 4, 9, 18, 13, 3, 6, 8, 14, 0, 2, 16, 5, 19, 1, 10, 11, 12, 7];34067.0;34522.0;34223.5;150.15;470.656;100000;[18, 2, 9, 15, 13, 17, 4, 14, 0, 19, 3, 16, 5, 6, 8, 1, 10, 11, 12, 7];33623
