Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
13;tai100_10_0.fsp;100;100;1;1;1;swap;ox;360831.0;364669.0;362581.4;1313.51;95.031;10000;300566
14;tai100_10_0.fsp;100;100;1;1;5;swap;ox;322772.0;328417.0;325470.8;1706.17;97.485;10000;300566
15;tai100_10_0.fsp;100;100;1;1;20;swap;ox;319697.0;323292.0;321665.9;1102.11;98.495;10000;300566
16;tai100_10_0.fsp;100;100;1;1;100;swap;ox;315635.0;321219.0;319593.4;1717.19;100.354;10000;300566
13;tai100_20_0.fsp;100;100;1;1;1;swap;ox;435493.0;442487.0;439164.3;2100.67;186.515;10000;367267
14;tai100_20_0.fsp;100;100;1;1;5;swap;ox;397925.0;404076.0;401260.9;2326.47;186.394;10000;367267
15;tai100_20_0.fsp;100;100;1;1;20;swap;ox;391204.0;396854.0;394464.9;1641.03;184.712;10000;367267
16;tai100_20_0.fsp;100;100;1;1;100;swap;ox;388737.0;398003.0;393110.1;2706.11;184.812;10000;367267
