Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
1;tai500_20_0.fsp;100;100;0.7;0.1;5;swap;ox;7470384.0;7591047.0;7529581.9;44939.82;1260.96;10000;6697476
2;tai500_20_0.fsp;20;500;0.7;0.1;5;swap;ox;7491879.0;7574017.0;7537761.3;28420.44;1355.277;10000;6697476
3;tai500_20_0.fsp;1000;10;0.7;0.1;5;swap;ox;7720090.0;7786705.0;7763175.2;18578.69;2440.198;10000;6697476
4;tai500_20_0.fsp;10000;1;0.7;0.1;5;swap;ox;7893635.0;7931799.0;7914907.8;12992.86;1097.664;10000;6697476
