Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
22;tai100_10_0.fsp;100;100;1;1;20;swap;pmx;314503.0;322209.0;318695.9;2122.58;89.431;10000;300566
23;tai100_10_0.fsp;100;100;1;1;20;swap;pmx;315850.0;321540.0;318630.6;2036.45;88.455;10000;300566
24;tai100_10_0.fsp;100;100;1;1;20;swap;pmx;315638.0;324126.0;319206.7;2940.23;85.575;9604;300566
22;tai100_20_0.fsp;100;100;1;1;20;swap;pmx;391221.0;396354.0;393746.6;1883.06;175.416;10000;367267
23;tai100_20_0.fsp;100;100;1;1;20;swap;pmx;389343.0;396602.0;393634.2;2415.28;175.712;10000;367267
24;tai100_20_0.fsp;100;100;1;1;20;swap;pmx;389667.0;396029.0;392964.9;2477.69;167.002;9604;367267
