Case_ID;Instance;Initial_temp;Cooling_rate;SA_Best;SA_Worst;SA_Avg;SA_Std;SA_Time(s);SA_NFE_Avg;Best_Known_Value
25;tai100_10_0.fsp;100;0.99;313684.0;318940.0;316996.6;1573.81;83.407;10000;300566
26;tai100_10_0.fsp;1000;0.99;313770.0;316809.0;315332.2;1082.29;84.381;10000;300566
27;tai100_10_0.fsp;10000;0.99;313280.0;319616.0;315959.9;1769.95;84.224;10000;300566
25;tai100_20_0.fsp;100;0.99;387497.0;392393.0;389913.2;1497.3;170.249;10000;367267
26;tai100_20_0.fsp;1000;0.99;387210.0;394287.0;390828.7;2714.8;170.942;10000;367267
27;tai100_20_0.fsp;10000;0.99;386715.0;393934.0;389639.7;2760.49;171.045;10000;367267
