Instance;pop_size;generations;Px;Pm;Tour;Mutation_Type;Crossover_Type;elitism;initial_temp;cooling_rate;RS_Best;RS_Worst;RS_Avg;RS_Std;RS_Time(s);RS_NFE;RS_Best_Sequence;GR_Best;GR_Time(s);GR_NFE;GR_Best_Sequence;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;EA_Best_Sequence;SA_Best;SA_Worst;SA_Avg;SA_Std;SA_Time(s);SA_NFE_Avg;SA_Best_Sequence;Best_Known_Value
tai100_10_0.fsp;100;100;1;1;20;swap;pmx;0;1000;0.999;356497.0;363442.0;360545.7;2166.33;114.771;10000;[59, 30, 14, 95, 78, 88, 25, 4, 72, 50, 91, 58, 11, 19, 66, 5, 38, 37, 48, 63, 73, 57, 79, 52, 44, 90, 93, 41, 56, 33, 1, 8, 46, 27, 92, 43, 60, 28, 2, 97, 47, 99, 87, 71, 39, 36, 17, 13, 31, 68, 69, 12, 3, 53, 64, 75, 42, 24, 81, 35, 9, 74, 6, 89, 26, 18, 77, 22, 23, 45, 21, 15, 0, 65, 61, 10, 54, 86, 62, 34, 85, 29, 76, 70, 40, 82, 83, 55, 98, 7, 32, 96, 20, 67, 94, 16, 84, 80, 51, 49];378986.0;1.779;1;[11, 36, 71, 39, 58, 25, 44, 29, 98, 27, 90, 99, 68, 12, 43, 28, 26, 42, 77, 62, 52, 60, 53, 86, 20, 2, 35, 16, 93, 70, 57, 14, 76, 74, 55, 81, 37, 69, 61, 73, 49, 24, 47, 9, 84, 4, 8, 3, 17, 67, 51, 22, 66, 10, 40, 95, 31, 32, 78, 87, 38, 59, 85, 64, 34, 46, 18, 7, 88, 82, 33, 97, 30, 89, 54, 79, 80, 75, 0, 1, 23, 63, 50, 19, 72, 15, 96, 5, 6, 21, 83, 91, 94, 41, 13, 45, 48, 56, 65, 92];317639.0;322821.0;319852.6;1774.8;130.139;10000;[60, 34, 30, 69, 81, 86, 27, 14, 58, 43, 38, 63, 44, 42, 41, 87, 57, 4, 48, 39, 71, 29, 88, 73, 20, 95, 59, 26, 36, 23, 28, 37, 12, 92, 80, 52, 9, 61, 2, 76, 11, 1, 97, 55, 32, 35, 51, 62, 25, 56, 98, 68, 15, 79, 93, 13, 16, 10, 99, 47, 83, 33, 49, 50, 82, 77, 85, 17, 67, 72, 90, 78, 84, 3, 94, 7, 54, 0, 64, 65, 19, 89, 70, 74, 6, 66, 31, 75, 18, 22, 24, 40, 21, 53, 96, 46, 8, 5, 45, 91];311991.0;318443.0;315155.7;1709.92;141.014;10000;[60, 57, 14, 82, 76, 1, 69, 42, 20, 63, 38, 72, 39, 43, 34, 86, 11, 71, 35, 4, 79, 28, 26, 55, 77, 19, 48, 84, 51, 36, 96, 78, 81, 87, 58, 44, 95, 99, 25, 50, 41, 52, 9, 93, 92, 62, 12, 16, 53, 17, 27, 68, 15, 59, 13, 40, 97, 7, 65, 90, 29, 30, 2, 10, 49, 61, 73, 85, 45, 18, 64, 74, 33, 23, 89, 37, 94, 67, 8, 88, 54, 5, 31, 32, 47, 56, 6, 98, 83, 0, 22, 70, 3, 80, 66, 75, 46, 91, 24, 21];300566
tai100_20_0.fsp;100;100;1;1;20;swap;pmx;0;1000;0.999;435816.0;442413.0;438737.1;1972.76;225.588;10000;[78, 45, 34, 29, 83, 65, 4, 17, 50, 75, 66, 32, 35, 36, 90, 27, 58, 20, 13, 39, 25, 5, 0, 44, 37, 55, 1, 70, 60, 94, 3, 7, 68, 12, 33, 42, 77, 8, 81, 79, 88, 95, 47, 82, 41, 10, 46, 61, 99, 11, 18, 6, 2, 31, 86, 96, 38, 67, 24, 63, 69, 72, 97, 71, 80, 73, 30, 23, 92, 19, 85, 9, 48, 98, 54, 74, 43, 26, 91, 84, 87, 89, 62, 16, 59, 28, 76, 56, 93, 40, 64, 22, 51, 15, 57, 53, 14, 52, 49, 21];452264.0;5.031;1;[0, 7, 68, 97, 74, 12, 35, 37, 58, 96, 46, 49, 18, 72, 13, 70, 83, 40, 6, 85, 42, 71, 86, 24, 48, 76, 51, 67, 88, 41, 77, 89, 87, 57, 63, 26, 65, 25, 62, 91, 53, 4, 27, 54, 14, 94, 19, 30, 33, 50, 29, 69, 64, 59, 39, 81, 3, 28, 55, 23, 52, 44, 31, 60, 66, 75, 73, 43, 99, 90, 11, 36, 15, 1, 61, 93, 16, 21, 5, 45, 84, 38, 78, 56, 10, 22, 47, 8, 82, 34, 2, 32, 20, 98, 92, 95, 79, 9, 17, 80];392293.0;397071.0;394638.1;1512.94;255.083;10000;[53, 77, 88, 24, 31, 0, 50, 82, 74, 30, 4, 73, 7, 89, 72, 83, 64, 58, 45, 35, 46, 93, 68, 20, 70, 29, 87, 69, 16, 28, 79, 92, 37, 39, 43, 78, 27, 81, 84, 60, 96, 25, 18, 85, 48, 49, 17, 8, 97, 21, 3, 42, 11, 13, 59, 57, 52, 38, 90, 67, 75, 12, 9, 10, 76, 61, 63, 22, 19, 80, 55, 40, 2, 66, 54, 62, 91, 26, 1, 51, 56, 94, 6, 23, 15, 71, 44, 65, 41, 95, 98, 86, 99, 14, 5, 33, 34, 32, 36, 47];385297.0;390638.0;387962.5;1854.35;250.904;10000;[53, 58, 73, 76, 46, 77, 0, 78, 38, 59, 84, 49, 80, 72, 24, 4, 82, 88, 17, 30, 20, 50, 81, 65, 57, 26, 13, 2, 97, 43, 7, 79, 35, 27, 96, 45, 75, 89, 87, 64, 74, 55, 40, 12, 22, 39, 25, 83, 60, 68, 11, 10, 85, 18, 21, 37, 51, 62, 67, 63, 3, 42, 44, 98, 54, 91, 70, 5, 61, 93, 6, 94, 29, 71, 19, 66, 16, 1, 8, 15, 31, 32, 47, 41, 69, 28, 86, 14, 23, 56, 36, 95, 34, 33, 48, 52, 92, 99, 9, 90];367267
