Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
1;tai100_10_0.fsp;100;100;0.7;0.1;5;swap;ox;324949.0;338055.0;329996.3;3429.03;122.628;10000;300566
2;tai100_10_0.fsp;20;500;0.7;0.1;5;swap;ox;327310.0;336165.0;332164.1;2673.43;123.961;10000;300566
3;tai100_10_0.fsp;1000;10;0.7;0.1;5;swap;ox;341812.0;348334.0;344706.8;1905.15;109.133;10000;300566
4;tai100_10_0.fsp;10000;1;0.7;0.1;5;swap;ox;357058.0;362852.0;360334.6;2318.71;104.825;10000;300566
1;tai100_20_0.fsp;100;100;0.7;0.1;5;swap;ox;397383.0;410547.0;405504.9;4289.59;209.418;10000;367267
2;tai100_20_0.fsp;20;500;0.7;0.1;5;swap;ox;402842.0;411746.0;407528.7;2914.11;203.959;10000;367267
3;tai100_20_0.fsp;1000;10;0.7;0.1;5;swap;ox;419532.0;424410.0;422383.2;1447.16;233.592;10000;367267
4;tai100_20_0.fsp;10000;1;0.7;0.1;5;swap;ox;434072.0;441507.0;438942.4;2250.59;227.118;10000;367267
