Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
5;tai500_20_0.fsp;100;100;0.0;0.1;5;swap;ox;7633865.0;7753107.0;7706413.5;32814.73;856.528;10000;6697476
6;tai500_20_0.fsp;100;100;0.3;0.1;5;swap;ox;7558436.0;7633119.0;7585329.5;27160.69;910.855;10000;6697476
7;tai500_20_0.fsp;100;100;0.7;0.1;5;swap;ox;7495775.0;7559650.0;7518667.2;19751.69;986.947;10000;6697476
8;tai500_20_0.fsp;100;100;1.0;0.1;5;swap;ox;7440933.0;7509208.0;7476693.9;21272.84;1035.307;10000;6697476
