Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
22;tai20_5_0.fsp;100;100;1;1;20;swap;pmx;14066.0;14247.0;14137.9;56.79;11.132;10000;14033
23;tai20_5_0.fsp;100;100;1;1;20;swap;pmx;14060.0;14334.0;14159.8;87.22;11.12;10000;14033
24;tai20_5_0.fsp;100;100;1;1;20;swap;pmx;14041.0;14323.0;14189.0;85.91;10.805;9604;14033
22;tai20_10_0.fsp;100;100;1;1;20;swap;pmx;20955.0;21769.0;21226.4;211.48;20.359;10000;20911
23;tai20_10_0.fsp;100;100;1;1;20;swap;pmx;20981.0;21979.0;21447.5;348.45;20.595;10000;20911
24;tai20_10_0.fsp;100;100;1;1;20;swap;pmx;21081.0;21879.0;21401.8;262.52;18.969;9604;20911
22;tai20_20_0.fsp;100;100;1;1;20;swap;pmx;33897.0;34413.0;34162.5;151.68;36.431;10000;33623
23;tai20_20_0.fsp;100;100;1;1;20;swap;pmx;33939.0;34430.0;34218.3;155.91;36.907;10000;33623
24;tai20_20_0.fsp;100;100;1;1;20;swap;pmx;33983.0;34544.0;34210.6;168.04;35.28;9604;33623
