Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
5;tai100_10_0.fsp;100;100;0.0;0.1;5;swap;ox;331935.0;346741.0;338030.3;4214.69;89.903;10000;300566
6;tai100_10_0.fsp;100;100;0.3;0.1;5;swap;ox;326407.0;336932.0;332789.2;3430.35;90.907;10000;300566
7;tai100_10_0.fsp;100;100;0.7;0.1;5;swap;ox;326543.0;334801.0;331122.8;2507.97;92.264;10000;300566
8;tai100_10_0.fsp;100;100;1.0;0.1;5;swap;ox;322743.0;333509.0;327199.8;3076.81;93.806;10000;300566
5;tai100_20_0.fsp;100;100;0.0;0.1;5;swap;ox;408184.0;417669.0;413156.8;2854.14;173.785;10000;367267
6;tai100_20_0.fsp;100;100;0.3;0.1;5;swap;ox;405759.0;413777.0;408785.9;2682.9;176.184;10000;367267
7;tai100_20_0.fsp;100;100;0.7;0.1;5;swap;ox;401258.0;408353.0;405320.2;2583.73;177.271;10000;367267
8;tai100_20_0.fsp;100;100;1.0;0.1;5;swap;ox;397746.0;406913.0;401610.5;3054.56;180.553;10000;367267
