Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
13;tai500_20_0.fsp;100;100;1;1;1;swap;ox;7865718.0;7963803.0;7919021.9;36021.12;1045.47;10000;6697476
14;tai500_20_0.fsp;100;100;1;1;5;swap;ox;7377624.0;7451755.0;7411693.7;25345.13;1064.819;10000;6697476
15;tai500_20_0.fsp;100;100;1;1;20;swap;ox;7320370.0;7380543.0;7357453.1;20160.08;1073.462;10000;6697476
16;tai500_20_0.fsp;100;100;1;1;100;swap;ox;7316248.0;7372040.0;7350482.0;21873.88;1074.66;10000;6697476
