generation,best,avg,worst
253,14094,14162,17167
254,14094,14164,17838
255,14094,14161,16851
256,14094,14156,17310
257,14094,14163,16853
258,14094,14159,17167
259,14094,14169,16853
260,14094,14173,17167
261,14094,14182,17838
262,14094,14168,17838
263,14094,14154,17310
264,14094,14163,16412
265,14094,14186,17310
266,14094,14180,17838
267,14094,14173,17167
268,14094,14170,16311
269,14094,14181,17310
270,14094,14170,17838
271,14094,14171,17838
272,14094,14164,17838
273,14094,14169,17310
274,14094,14173,17838
275,14094,14178,17838
276,14094,14174,16412
277,14094,14166,17310
278,14094,14170,17167
279,14094,14169,16851
280,14094,14148,17310
281,14094,14149,16853
282,14094,14168,17838
283,14094,14169,17310
284,14094,14161,17838
285,14094,14164,17838
286,14094,14170,17838
287,14094,14158,17167
288,14094,14176,17838
289,14094,14183,17838
290,14094,14167,17838
291,14094,14182,17310
292,14094,14163,16853
293,14094,14187,17838
294,14094,14172,17838
295,14094,14168,17310
296,14094,14193,17310
297,14094,14165,17310
298,14094,14161,16851
299,14094,14167,17838
300,14094,14159,16853
301,14094,14169,17838
302,14094,14174,17167
303,14094,14158,17838
304,14094,14164,17838
305,14094,14156,17838
306,14094,14152,17838
307,14094,14162,17838
308,14094,14153,17167
309,14094,14175,16853
310,14094,14158,16412
311,14094,14176,17310
312,14094,14169,17310
313,14094,14163,17167
314,14094,14171,17838
315,14094,14170,17838
316,14094,14147,17838
317,14094,14165,17310
318,14094,14178,17838
319,14094,14161,16853
320,14094,14164,16853
321,14094,14163,16853
322,14094,14168,17838
323,14094,14168,17310
324,14094,14145,16853
325,14094,14162,17838
326,14094,14165,17167
327,14094,14153,16851
328,14094,14174,17838
329,14094,14169,16412
330,14094,14148,17167
331,14094,14172,17838
332,14094,14159,17310
333,14094,14174,17838
334,14094,14162,16851
335,14094,14176,17838
336,14094,14158,17838
337,14094,14166,17310
338,14094,14158,17838
339,14094,14154,16851
340,14094,14176,17310
341,14094,14164,17838
342,14094,14151,17838
343,14094,14155,16311
344,14094,14169,17838
345,14094,14165,16853
346,14094,14158,17838
347,14094,14178,17310
348,14094,14164,16851
349,14094,14169,17838
350,14094,14168,17310
351,14094,14167,17838
352,14094,14176,17838
353,14094,14165,17838
354,14094,14177,17838
355,14094,14154,17838
356,14094,14183,17838
357,14094,14165,17310
358,14094,14159,17838
359,14094,14180,17838
360,14094,14176,17838
361,14094,14182,17838
362,14094,14166,16853
363,14094,14164,17310
364,14094,14160,16853
365,14094,14181,17838
366,14094,14159,17310
367,14094,14165,17167
368,14094,14159,17167
369,14094,14183,17838
370,14094,14164,17838
371,14094,14180,17838
372,14094,14174,17310
373,14094,14156,16359
374,14094,14171,17838
375,14094,14156,16853
376,14094,14174,17838
377,14094,14170,17838
378,14094,14164,17838
379,14094,14153,17838
380,14094,14163,17310
381,14094,14160,16853
382,14094,14166,17310
383,14094,14165,17167
384,14094,14164,17310
385,14094,14164,17838
386,14094,14152,17838
387,14094,14161,17310
388,14094,14161,17167
389,14094,14165,16851
390,14094,14173,17838
391,14094,14174,17310
392,14094,14167,17310
393,14094,14171,17167
394,14094,14169,17167
395,14094,14164,17310
396,14094,14171,17310
397,14094,14182,17838
398,14094,14174,17167
399,14094,14186,17838
400,14094,14179,17838
401,14094,14172,17167
402,14094,14161,17310
403,14094,14152,16851
404,14094,14168,17838
405,14094,14154,16412
406,14094,14200,17310
407,14094,14179,17838
408,14094,14159,17310
409,14094,14169,17838
410,14094,14158,16851
411,14094,14161,17838
412,14094,14161,17838
413,14094,14181,17838
414,14094,14172,17838
415,14094,14164,17310
416,14094,14157,17838
417,14094,14151,16851
418,14094,14153,17838
419,14094,14191,17310
420,14094,14161,17310
421,14094,14159,17310
422,14094,14168,16851
423,14094,14156,17838
424,14094,14169,16853
425,14094,14149,16359
426,14094,14163,16412
427,14094,14171,16412
428,14094,14168,17167
429,14094,14164,17310
430,14094,14165,17167
431,14094,14161,17838
432,14094,14170,17167
433,14094,14173,17310
434,14094,14180,17167
435,14094,14166,17310
436,14094,14141,16412
437,14094,14161,17310
438,14094,14176,17310
439,14094,14155,17838
440,14094,14169,17310
441,14094,14157,16412
442,14094,14157,17838
443,14094,14167,16851
444,14094,14175,17310
445,14094,14179,17838
446,14094,14171,17310
447,14094,14163,16851
448,14094,14171,17838
449,14094,14161,17167
450,14094,14161,16851
451,14094,14160,16853
452,14094,14147,16851
453,14094,14174,17838
454,14094,14165,17838
455,14094,14176,17838
456,14094,14187,17838
457,14094,14146,17310
458,14094,14170,17167
459,14094,14173,16853
460,14094,14160,17838
461,14094,14185,17838
462,14094,14174,16851
463,14094,14163,17838
464,14094,14164,17838
465,14094,14152,17310
466,14094,14170,17838
467,14094,14158,17838
468,14094,14167,17310
469,14094,14172,17838
470,14094,14165,17310
471,14094,14182,17838
472,14094,14159,17310
473,14094,14183,17838
474,14094,14165,17167
475,14094,14166,17167
476,14094,14167,17838
477,14094,14164,17310
478,14094,14159,17310
479,14094,14152,17310
480,14094,14157,17310
481,14094,14155,17310
482,14094,14170,17838
483,14094,14170,16853
484,14094,14158,17838
485,14094,14167,16412
486,14094,14167,17838
487,14094,14150,17310
488,14094,14164,17838
489,14094,14174,17310
490,14094,14167,17838
491,14094,14158,17838
492,14094,14178,17838
493,14094,14160,17838
494,14094,14170,17310
495,14094,14176,17310
496,14094,14169,17310
497,14094,14160,16851
498,14094,14159,17310
499,14094,14164,17310
500,14094,14168,17838
501,14094,14148,17310
502,14094,14171,17310
503,14094,14157,16412
504,14094,14157,17838
505,14094,14166,17838
506,14094,14153,17310
507,14094,14163,17838
508,14094,14187,17838
509,14094,14186,17310
510,14094,14162,17838
511,14094,14163,17838
512,14094,14157,17310
513,14094,14179,17838
514,14094,14172,17310
515,14094,14162,16311
516,14094,14156,17838
517,14094,14160,17310
518,14094,14149,17167
519,14094,14163,16851
520,14094,14164,17310
521,14094,14174,17838
522,14094,14162,17838
523,14094,14155,16359
524,14094,14165,17838
525,14094,14178,17310
526,14094,14163,17167
527,14094,14167,17310
528,14094,14165,17310
529,14094,14146,16243
530,14094,14160,17838
531,14094,14179,17310
532,14094,14154,17310
533,14094,14163,16853
534,14094,14165,17838
535,14094,14154,16101
536,14094,14175,17838
537,14094,14162,17838
538,14094,14167,17310
539,14094,14154,17838
540,14094,14179,17838
541,14094,14172,17310
542,14094,14170,17310
543,14094,14165,17838
544,14094,14158,16359
545,14094,14175,17310
546,14094,14160,17310
547,14094,14174,17838
548,14094,14175,17838
549,14094,14184,17838
550,14094,14179,16853
551,14094,14154,16359
552,14094,14160,17838
553,14094,14158,16853
554,14094,14179,17167
555,14094,14163,16412
556,14094,14152,17167
557,14094,14169,16851
558,14094,14161,17167
559,14094,14174,17310
560,14094,14164,17310
561,14094,14169,17167
562,14094,14173,17310
563,14094,14156,16851
564,14094,14162,17167
565,14094,14174,17838
566,14094,14167,17838
567,14094,14159,16851
568,14094,14173,17838
569,14094,14170,17838
570,14094,14157,16412
571,14094,14154,17167
572,14094,14154,16853
573,14094,14180,17167
574,14094,14155,16412
575,14094,14167,17838
576,14094,14164,17838
577,14094,14153,16359
578,14094,14170,17310
579,14094,14155,17310
580,14094,14159,17310
581,14094,14156,17310
582,14094,14159,17310
583,14094,14177,17838
584,14094,14167,17838
585,14094,14162,17838
586,14094,14179,17838
587,14094,14169,16851
588,14094,14175,17167
589,14094,14162,17838
590,14094,14161,16851
591,14094,14157,17310
592,14094,14173,17838
593,14094,14178,17310
594,14094,14164,17838
595,14094,14176,17310
596,14094,14163,17838
597,14094,14165,17838
598,14094,14154,17310
599,14094,14163,17167
600,14094,14179,17838
601,14094,14155,16160
602,14094,14163,17838
603,14094,14169,17167
604,14094,14157,16851
605,14094,14158,16853
606,14094,14163,17838
607,14094,14172,17838
608,14094,14164,17167
609,14094,14167,17838
610,14094,14162,17167
611,14094,14165,17310
612,14094,14148,17838
613,14094,14183,17310
614,14094,14167,17167
615,14094,14166,17310
616,14094,14174,17167
617,14094,14167,17310
618,14094,14158,17167
619,14094,14186,17838
620,14094,14168,16851
621,14094,14175,17167
622,14094,14170,17838
623,14094,14176,17310
624,14094,14163,17167
625,14094,14178,17838
626,14094,14147,17838
627,14094,14176,17310
628,14094,14181,17838
629,14094,14162,17838
630,14094,14159,17167
631,14094,14184,17838
632,14094,14165,16853
633,14094,14158,17310
634,14094,14177,16853
635,14094,14154,16412
636,14094,14171,17310
637,14094,14154,16311
638,14094,14182,17310
639,14094,14168,17310
640,14094,14165,16853
641,14094,14162,17838
642,14094,14159,17838
643,14094,14167,17310
644,14094,14158,17838
645,14094,14186,17838
646,14094,14165,16853
647,14094,14170,16851
648,14094,14161,17310
649,14094,14156,16851
650,14094,14161,17838
651,14094,14189,17838
652,14094,14189,17838
653,14094,14177,17838
654,14094,14159,17310
655,14094,14161,17310
656,14094,14170,17838
657,14094,14156,17167
658,14094,14173,17838
659,14094,14175,17838
660,14094,14157,16851
661,14094,14161,17167
662,14094,14181,17167
663,14094,14174,17310
664,14094,14154,16851
665,14094,14168,17310
666,14094,14155,16412
667,14094,14171,17310
668,14094,14194,17310
669,14094,14157,16853
670,14094,14154,17310
671,14094,14157,17838
672,14094,14157,16853
673,14094,14160,17838
674,14094,14182,17838
675,14094,14171,17167
676,14094,14159,17310
677,14094,14150,17838
678,14094,14158,16851
679,14094,14164,16851
680,14094,14173,17838
681,14094,14177,17310
682,14094,14175,17310
683,14094,14178,17310
684,14094,14153,17838
685,14094,14171,17838
686,14094,14161,16853
687,14094,14167,17838
688,14094,14151,16853
689,14094,14149,16853
690,14094,14154,17838
691,14094,14162,17310
692,14094,14162,17838
693,14094,14158,17838
694,14094,14167,16851
695,14094,14153,17310
696,14094,14178,17838
697,14094,14166,16412
698,14094,14157,17310
699,14094,14172,17838
700,14094,14177,17167
701,14094,14169,17838
702,14094,14154,17838
703,14094,14168,17838
704,14094,14162,16311
705,14094,14162,17167
706,14094,14178,17310
707,14094,14169,17838
708,14094,14158,17167
709,14094,14174,17838
710,14094,14160,17838
711,14094,14172,17310
712,14094,14184,17167
713,14094,14168,17310
714,14094,14155,17838
715,14094,14158,16851
716,14094,14173,17838
717,14094,14160,16853
718,14094,14166,17167
719,14094,14170,17167
720,14094,14164,17838
721,14094,14157,16853
722,14094,14163,17167
723,14094,14149,16412
724,14094,14183,17838
725,14094,14167,17167
726,14094,14164,16851
727,14094,14167,17167
728,14094,14170,17167
729,14094,14155,16851
730,14094,14179,17838
731,14094,14170,17310
732,14094,14166,16412
733,14094,14156,17310
734,14094,14170,17838
735,14094,14173,16853
736,14094,14156,17838
737,14094,14162,16853
738,14094,14153,17310
739,14094,14166,17838
740,14094,14170,17838
741,14094,14179,17838
742,14094,14186,17310
743,14094,14152,16359
744,14094,14177,17838
