Case_ID;Instance;Initial_temp;Cooling_rate;SA_Best;SA_Worst;SA_Avg;SA_Std;SA_Time(s);SA_NFE_Avg;Best_Known_Value
28;tai100_10_0.fsp;1000;0.9;315515.0;319258.0;316743.4;1327.58;83.402;10000;300566
29;tai100_10_0.fsp;1000;0.99;311141.0;320268.0;315174.1;2533.88;83.018;10000;300566
30;tai100_10_0.fsp;1000;0.999;313203.0;316507.0;315110.5;1269.85;84.306;10000;300566
31;tai100_10_0.fsp;1000;0.9999;324766.0;330087.0;328330.3;1544.48;83.741;10000;300566
28;tai100_20_0.fsp;1000;0.9;386730.0;392984.0;389859.9;1914.81;169.287;10000;367267
29;tai100_20_0.fsp;1000;0.99;387407.0;394815.0;390010.8;2520.44;171.097;10000;367267
30;tai100_20_0.fsp;1000;0.999;388299.0;392236.0;390305.8;1404.08;171.812;10000;367267
31;tai100_20_0.fsp;1000;0.9999;395165.0;402408.0;399671.0;2079.87;172.504;10000;367267
