Instance;pop_size;generations;Px;Pm;Tour;Mutation_Type;Crossover_Type;elitism;initial_temp;cooling_rate;RS_Best;RS_Worst;RS_Avg;RS_Std;RS_Time(s);RS_NFE;GR_Best;GR_Time(s);GR_NFE;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;SA_Best;SA_Worst;SA_Avg;SA_Std;SA_Time(s);SA_NFE_Avg;Best_Known_Value
tai100_10_0.fsp;100;100;1;1;20;swap;pmx;0;1000;0.999;358758.0;362948.0;360966.9;1323.05;84.417;10000;378986.0;1.47;1;316243.0;321988.0;318232.4;1547.14;91.079;10000;313350.0;316995.0;315170.6;1292.03;85.692;10000;300566
tai100_20_0.fsp;100;100;1;1;20;swap;pmx;0;1000;0.999;435112.0;440283.0;438221.0;1872.27;173.95;10000;452264.0;2.97;1;390586.0;399575.0;395077.0;2542.83;179.972;10000;386983.0;391537.0;388893.2;1505.67;175.117;10000;367267
