generation,best,avg,worst
0,369647,389793,413660
1,363617,377547,401290
2,357907,369894,389471
3,355406,366009,385303
4,353659,361281,377407
5,349116,357501,372604
6,347851,354077,364614
7,346480,351817,365215
8,345193,349470,364981
9,344095,347810,354884
10,341077,347040,356453
11,340674,345556,355415
12,338861,344288,355647
13,336333,343007,350114
14,335527,341911,356174
15,335175,339937,351341
16,334838,338211,344777
17,334318,337457,343674
18,333133,337260,352851
19,332859,336420,347133
20,332602,336022,344465
21,332103,335513,343341
22,331802,335341,343154
23,331124,334651,346643
24,331157,334120,340392
25,331028,334660,350401
26,330447,334065,340178
27,330295,333920,343414
28,329983,334210,345472
29,330497,333518,339450
30,329985,333329,347813
31,329643,333993,345215
32,329122,332542,341438
33,328684,332013,344260
34,328620,332057,341892
35,327961,331551,345595
36,327998,331660,337784
37,327746,331471,349606
38,328219,331314,341317
39,327582,331314,342682
40,327196,330666,348504
41,326629,330308,342870
42,326027,329889,337760
43,326444,329451,345013
44,325959,329592,338204
45,325923,329177,337714
46,325658,329400,343384
47,325941,329296,344417
48,325289,329275,336889
49,325744,328994,341221
50,324832,329071,342652
51,324951,328291,335492
52,325030,328537,335288
53,324688,327741,336160
54,324810,328184,337083
55,324282,328063,335653
56,323538,327930,336879
57,323979,327250,336320
58,323671,327099,338620
59,323251,326780,334438
60,323077,326462,333308
61,323193,326946,336589
62,323062,326426,332417
63,323016,326615,335085
64,323197,326860,334298
65,322435,326407,339438
66,322262,325884,333813
67,322390,326092,335592
68,322406,325897,334806
69,322536,326397,334881
70,322486,326014,336675
71,322534,325797,334533
72,322493,325591,333187
73,321971,325675,334707
74,322113,326197,334927
75,322332,326022,338514
76,322239,325916,331764
77,321634,326027,337690
78,321667,325380,331599
79,321630,324831,338740
80,321591,325200,336388
81,321600,325000,339442
82,321367,325392,337886
83,321348,324707,335072
84,321566,325265,332533
85,321190,325093,340451
86,321197,325039,333339
87,321072,324392,330404
88,320976,324858,339274
89,320956,325512,336632
90,319603,324370,335202
91,320008,323855,337859
92,319934,323362,332583
93,320008,323469,335203
94,319407,323444,333634
95,319352,323145,334984
96,319503,323439,338916
97,319531,323241,337124
98,319421,323773,337166
99,319528,322988,338837
100,319338,323452,337390
101,319528,323385,336446
102,318988,322735,334224
103,318691,322605,332987
104,318332,322414,338168
105,317631,321658,330209
106,318324,321731,333259
107,317680,322034,343132
108,317724,321813,333100
109,318190,321516,333017
110,318063,322198,334700
111,317227,321970,335912
112,317100,321252,328236
113,317271,321003,329670
114,317099,321752,341515
115,317021,320956,332343
116,317028,320742,328324
117,317244,321277,333374
118,317165,320938,339743
119,316785,320610,326302
120,317167,320811,334244
121,317430,320944,331391
122,316590,321191,333902
123,316564,320136,328934
124,316860,320341,341058
125,316727,320775,340788
126,316535,319970,330068
127,316401,320250,333220
128,316296,320012,329997
129,316270,320193,326673
130,316845,320192,337968
131,316980,320420,330447
132,316710,320628,333833
133,316698,320368,334084
134,316688,320345,332470
135,316465,320519,337343
136,316778,320260,330633
137,316747,320195,333232
138,316204,320775,338831
139,316278,320152,329882
140,316692,320614,329707
141,316247,319859,326990
142,316453,320662,333535
143,316066,320592,333733
144,316177,320310,338721
145,315997,319799,330228
146,315998,319447,329249
147,315464,319538,331202
148,316190,319067,324098
149,315932,319684,335954
150,316200,319771,336655
151,315647,319529,331882
152,315579,319639,336992
153,315441,319402,330849
154,315365,318853,332572
155,315502,319259,331782
156,315618,319142,329419
157,315681,319563,335571
158,315774,319134,326633
159,315611,319170,327655
160,315257,319841,338053
161,315028,319244,329169
162,314800,318519,327005
163,314931,318703,329027
164,315182,318766,336357
165,314355,318390,330668
166,314347,318406,329046
