generation,best,avg,worst
0,36425,39784,43361
1,36172,37910,40428
2,35407,37319,39593
3,35145,36590,39140
4,35145,36243,39391
5,35047,36166,38857
6,35099,36012,37981
7,35026,35894,38624
8,35083,36111,38817
9,35031,36053,38763
10,35008,35926,37977
11,34980,35991,38758
12,34927,35864,38875
13,34912,35982,38538
14,34810,35901,38808
15,34583,35942,38500
16,34593,35850,38343
17,34526,35682,37870
18,34545,35816,38241
19,34526,35737,38169
20,34526,35868,38512
21,34543,35619,38129
22,34595,35713,38384
23,34655,35677,38359
24,34496,35604,37876
25,34430,35505,38281
26,34462,35639,38482
27,34488,35706,38390
28,34462,35541,38677
29,34342,35587,38222
30,34407,35604,38115
31,34312,35503,37705
32,34312,35553,37981
33,34272,35361,37681
34,34331,35425,37692
35,34289,35434,37972
36,34286,35490,37874
37,34164,35441,37840
38,34303,35408,37884
39,34278,35546,38062
40,34347,35443,37923
41,34191,35537,38162
42,34226,35507,38073
43,34246,35627,37975
44,34226,35331,38065
45,34248,35382,38014
46,34287,35353,37842
47,34330,35446,37554
48,34304,35544,37472
49,34229,35404,38103
50,34248,35499,37943
51,34200,35499,37796
52,34287,35464,37312
53,34287,35413,37324
54,34266,35340,38210
55,34236,35245,37714
56,34188,35411,38249
57,34200,35453,37611
58,34277,35269,37978
59,34154,35396,37685
60,34226,35231,37599
61,34183,35365,38023
62,34304,35482,37556
63,34168,35347,37707
64,34312,35393,37822
65,34168,35570,37718
66,34230,35459,38252
67,34173,35472,37484
68,34382,35375,38000
69,34260,35504,37507
70,34185,35350,37247
71,34251,35437,38073
72,34188,35286,37986
73,34242,35357,37902
74,34195,35393,37773
75,34096,35350,38124
76,34186,35328,37356
77,34266,35452,38035
78,34372,35450,38059
79,34362,35452,37879
80,34369,35510,38279
81,34298,35521,37937
82,34260,35618,38260
83,34342,35427,37457
84,34267,35459,38031
85,34374,35580,37760
86,34181,35594,37986
87,34280,35404,37519
88,34270,35517,38030
89,34333,35446,38115
90,34224,35459,37805
91,34043,35532,37807
92,34043,35563,38392
93,34024,35354,37817
94,34029,35175,37213
95,34120,35196,37663
96,33971,35300,38049
97,34133,35306,37436
98,34097,35338,37643
99,34119,35288,37615
100,34144,35224,37853
101,34193,35315,37837
102,34100,35231,37664
103,34058,35548,37914
104,34052,35427,37735
105,34024,35486,37527
106,34181,35532,38082
107,34244,35443,37888
108,34168,35536,37573
109,34312,35429,37577
110,34482,35602,38279
111,34301,35592,37916
112,34064,35586,38109
113,34029,35544,37791
114,34116,35388,37561
115,34195,35241,38341
116,34271,35508,38137
117,34377,35653,37736
118,34247,35644,38918
119,34202,35392,37882
120,34175,35376,37662
121,34058,35362,38467
122,34117,35305,37900
123,34241,35382,37588
124,34193,35483,37500
125,34201,35512,38021
126,34261,35495,37860
127,34325,35483,38288
128,34348,35428,38141
129,34119,35454,38533
130,34119,35506,37783
131,34221,35271,37912
132,34230,35295,37600
133,34135,35272,37871
134,34205,35313,37858
135,34171,35365,37746
136,34191,35402,37826
137,34270,35261,37378
138,34262,35440,38191
139,34263,35559,37766
140,34196,35548,37952
141,34122,35311,37429
142,34132,35377,38181
143,34186,35473,37717
144,34119,35312,37588
145,34148,35376,37515
146,34218,35304,37552
147,34182,35327,37829
148,34218,35372,37696
149,34157,35362,37483
150,34156,35365,37771
151,34100,35411,37822
152,33967,35511,37755
153,34026,35404,37957
154,33967,35274,37601
155,34100,35391,37971
156,34156,35433,37902
157,34124,35367,37811
158,34081,35401,37802
159,34106,35444,38580
160,34169,35382,37991
161,34179,35531,37969
162,34129,35500,38368
163,34217,35443,37622
164,34129,35273,38037
165,34187,35430,37939
166,34191,35557,38155
167,34284,35462,37802
168,34290,35537,38118
169,34014,35313,37437
170,34106,35365,37389
171,34151,35445,38149
172,34053,35328,37722
173,34072,35232,37846
174,34123,35286,37460
175,34044,35300,37929
176,34024,35418,37765
177,34181,35268,37654
178,34159,35185,37485
179,34076,35339,37573
180,34139,35196,37632
181,33951,35314,37590
182,34161,35378,37628
183,34304,35378,37408
184,34218,35516,37750
185,34274,35552,37738
