generation,best,avg,worst
0,23926,26526,29623
1,23426,25202,27693
2,23184,24597,29035
3,22918,24323,28486
4,22704,24060,27385
5,22476,23542,26487
6,22476,23447,26140
7,22360,23324,25795
8,22271,23058,25829
9,22226,23152,25307
10,22235,23116,25624
11,21913,23161,26187
12,22032,23058,25856
13,22108,22984,25464
14,22052,23006,24858
15,22052,23302,25999
16,21971,23079,25039
17,21900,22974,26127
18,21942,22858,25014
19,21948,22720,24803
20,21967,22734,25544
21,21974,22814,25065
22,21903,22930,25797
23,21759,22849,24905
24,21759,22790,24980
25,21856,22699,25500
26,21672,22805,25206
27,21853,22866,26007
28,21583,23027,25250
29,21613,22764,24909
30,21635,22654,24998
31,21482,22646,25230
32,21510,22677,25976
33,21342,22580,26958
34,21342,22526,25976
35,21391,22533,24855
36,21445,22449,26306
37,21493,22649,25080
38,21445,22610,26179
39,21490,22537,25083
40,21449,22680,26150
41,21350,22506,26151
42,21393,22435,24824
43,21449,22578,25846
44,21502,22613,24854
45,21482,22614,25232
46,21502,22423,24765
47,21543,22444,26175
48,21564,22571,25394
49,21629,22606,24855
50,21623,22796,25314
51,21610,22663,25184
52,21603,22648,26125
53,21576,22663,25326
54,21510,22763,26248
55,21564,22494,25664
56,21360,22596,26062
57,21429,22581,26310
58,21434,22481,26141
59,21357,22518,26171
60,21407,22571,25052
61,21498,22466,26287
62,21392,22713,25178
63,21496,22433,25045
64,21433,22605,26264
65,21415,22808,26183
66,21421,22392,24876
67,21454,22522,25220
68,21411,22594,24983
69,21454,22532,24930
70,21488,22585,25305
71,21457,22546,24719
72,21454,22606,25990
73,21446,22558,26160
74,21423,22552,25641
75,21509,22859,25777
76,21554,22533,24962
77,21509,22578,25109
78,21560,22590,26435
79,21393,22808,24972
80,21429,22403,24940
81,21393,22510,26234
82,21410,22454,25977
83,21429,22505,24801
84,21363,22389,24785
85,21476,22583,24860
86,21322,22575,26515
87,21482,22752,25114
88,21408,22649,26036
89,21521,22597,25142
90,21445,22614,25868
91,21508,22478,24504
92,21446,22484,24889
93,21483,22543,25102
94,21420,22323,25788
95,21429,22568,25042
96,21393,22403,25038
97,21438,22455,24791
98,21453,22548,25330
99,21291,22547,26168
100,21292,22353,25061
101,21360,22430,25052
102,21292,22496,25058
103,21315,22306,24998
104,21247,22508,25973
105,21252,22315,24694
106,21356,22534,25722
107,21340,22453,24975
108,21399,22400,25303
109,21418,22414,25032
110,21340,22549,24877
111,21509,22538,26109
112,21472,22609,25862
113,21496,22585,25194
114,21364,22597,26086
115,21480,22686,26145
116,21364,22374,24741
117,21399,22530,26525
118,21395,22377,26163
119,21347,22287,24062
120,21418,22568,24984
121,21347,22556,26249
122,21449,22566,26160
123,21481,22400,24801
124,21504,22457,24824
125,21486,22668,25820
126,21518,22614,24920
127,21473,22559,26287
128,21389,22472,26221
129,21410,22576,26382
130,21340,22646,26203
131,21356,22495,26109
132,21362,22527,26271
133,21462,22422,24744
134,21453,22488,24856
135,21391,22431,25157
136,21369,22520,24835
137,21361,22592,25921
138,21356,22475,25864
139,21438,22428,26572
140,21347,22633,26050
141,21340,22676,26341
142,21322,22543,26109
143,21398,22443,26150
144,21476,22572,25667
145,21353,22684,26498
146,21433,22587,25177
147,21425,22434,24394
148,21491,22523,26317
