generation,best,avg,worst
0,8016954,8184555,8427031
1,7981465,8103835,8252903
2,7970537,8061949,8194914
3,7946513,8037904,8241917
4,7909536,7993047,8188497
5,7879164,7959552,8137388
6,7860441,7902834,8026151
7,7849322,7893521,8052522
8,7812399,7875327,8080165
9,7802816,7833142,7915183
10,7788642,7814154,7872167
11,7770712,7800539,7841401
12,7762833,7786717,7819878
13,7734294,7779127,7819280
14,7715330,7757561,7810815
15,7700782,7733224,7775380
16,7692286,7719060,7770157
17,7676126,7707205,7748444
18,7652391,7693382,7736803
19,7643628,7676270,7719528
20,7637851,7658856,7703566
21,7623484,7650234,7681355
22,7615569,7643243,7709334
23,7607949,7630236,7672505
24,7596882,7620745,7686831
25,7587704,7612662,7680276
26,7580928,7600238,7631812
27,7574292,7592620,7613744
28,7564398,7586919,7608531
29,7566914,7582227,7614971
30,7561751,7578367,7623024
31,7556597,7576029,7611023
32,7554473,7571083,7603526
33,7546407,7568033,7633097
34,7543244,7563859,7599599
35,7538920,7559061,7596530
36,7531498,7553989,7620493
37,7525149,7542610,7565159
38,7517964,7538361,7588611
39,7513600,7534045,7567122
40,7507385,7527634,7551702
41,7503967,7524953,7560154
42,7501639,7516104,7537795
43,7492604,7513040,7548203
44,7492489,7508717,7563893
45,7488735,7507280,7562558
46,7484972,7500474,7528713
47,7482456,7497416,7537139
48,7476753,7493024,7525443
49,7474560,7490122,7515794
50,7468765,7484351,7508169
51,7464656,7483282,7510686
52,7456533,7477079,7514275
53,7452389,7472523,7498078
54,7449785,7466863,7511220
55,7448981,7461634,7513996
56,7446417,7460583,7485988
57,7444776,7459216,7492097
58,7442465,7458014,7492027
59,7441742,7456789,7491845
60,7437822,7454559,7482665
61,7436232,7452996,7478374
62,7434977,7451199,7474226
63,7431179,7449011,7475989
64,7428901,7447592,7505871
65,7416650,7442823,7486581
66,7421805,7436808,7471200
67,7417910,7433991,7460553
68,7416397,7432245,7476269
69,7411867,7428894,7457972
70,7407083,7425226,7476529
71,7396020,7420786,7452829
72,7390437,7413107,7447313
73,7385933,7408036,7456190
74,7385768,7404040,7436179
75,7381217,7399840,7436287
76,7381068,7399283,7428467
77,7376508,7397277,7425333
78,7377463,7397913,7441048
79,7374300,7394944,7437877
80,7374833,7393461,7448612
81,7374244,7391524,7462054
82,7374354,7389533,7417594
83,7372684,7389472,7428563
84,7371999,7389028,7418646
85,7370624,7386147,7412357
86,7364255,7384826,7433690
87,7359805,7379432,7416094
88,7359229,7376138,7425842
89,7356970,7372376,7397217
90,7357229,7371979,7395798
91,7348754,7369811,7394244
92,7343991,7365999,7389636
93,7344960,7360991,7387526
94,7342586,7358743,7386906
95,7337922,7357794,7389591
96,7332349,7356911,7381387
97,7333394,7351793,7375230
98,7330171,7345980,7373633
99,7328920,7345340,7371046
100,7328999,7344506,7409159
101,7324395,7341886,7403567
102,7319405,7339461,7366585
103,7317325,7336265,7360990
104,7315694,7334823,7387712
105,7313513,7331637,7400111
106,7311165,7331176,7394370
107,7311215,7328481,7375353
108,7308474,7324162,7360814
109,7306979,7324247,7357290
110,7306922,7323000,7350886
111,7305472,7322037,7424698
112,7303887,7323076,7359789
113,7304561,7321714,7384791
114,7300584,7321048,7351794
115,7299403,7317788,7341062
116,7298098,7317869,7344057
117,7298006,7314771,7358095
118,7296312,7313207,7346770
119,7294915,7311306,7337038
120,7297952,7311172,7337719
121,7290154,7311378,7342009
122,7287829,7309298,7333703
123,7288882,7307855,7355895
124,7289032,7305302,7329033
125,7288637,7305996,7369851
126,7289144,7308148,7342337
127,7290411,7305723,7332197
128,7289158,7304771,7347263
129,7286289,7305939,7338713
130,7285887,7306411,7347061
131,7286218,7304166,7328694
132,7285978,7302823,7332376
133,7286099,7302460,7343429
134,7284326,7303971,7365107
135,7282386,7299741,7327526
136,7283068,7299030,7333834
137,7284700,7297826,7333381
138,7284088,7302229,7358734
139,7283352,7303607,7352411
140,7282867,7299597,7338552
141,7282924,7300235,7331851
142,7281548,7299426,7331774
143,7281845,7297124,7338153
144,7281208,7296155,7319491
145,7276861,7297164,7342350
146,7276756,7293503,7378276
147,7273197,7292439,7330986
