generation,best,avg,worst
289,14137,15027,17993
290,14149,14889,16852
291,14116,14971,17072
292,14095,14903,17285
293,14095,14881,17904
294,14132,14888,18089
295,14189,14851,17114
296,14132,14956,17348
297,14129,14980,18101
298,14160,14990,18441
299,14122,15083,17361
300,14173,15008,17230
301,14200,15007,17144
302,14183,14982,17235
303,14088,14857,17598
304,14104,14919,17337
305,14116,14917,17299
306,14132,14940,17460
307,14152,14813,16816
308,14100,14946,17309
309,14143,14884,17200
310,14121,14941,17721
311,14090,14866,16759
312,14102,14995,17079
313,14144,15103,18036
314,14193,15039,17308
315,14097,15007,18006
316,14119,15006,17413
317,14097,14840,17280
318,14130,14895,17245
319,14083,14838,17833
320,14083,14837,17395
321,14097,14982,17137
322,14083,14890,17342
323,14126,15069,18032
324,14090,14858,17962
325,14083,14822,17834
326,14096,14881,17271
327,14095,14895,17816
328,14130,14953,17403
329,14134,15019,17816
330,14126,14862,17790
331,14166,14962,17063
332,14144,14977,17690
333,14144,14987,17279
334,14155,14967,17459
335,14123,15011,17455
336,14126,14915,17708
337,14130,14891,17009
338,14145,14899,17332
339,14136,14986,16726
340,14165,14929,17208
341,14096,14983,17023
342,14148,14964,17125
343,14096,14852,17805
344,14096,15000,17885
345,14083,14865,16777
346,14090,14834,16731
347,14156,14903,17308
348,14161,14881,17258
349,14173,15083,17334
350,14083,14894,17446
351,14125,14948,17624
352,14083,15048,17583
353,14136,15004,18110
354,14181,14913,17882
355,14083,14920,16829
356,14097,15004,17985
357,14118,14923,17260
358,14137,14949,17260
359,14145,14852,17242
360,14168,14897,16783
361,14119,14915,17373
362,14088,15048,17831
363,14125,14944,17806
364,14083,14999,17118
365,14101,15035,17215
366,14142,14906,17204
367,14150,15009,17318
368,14148,15073,17860
369,14100,14918,18110
370,14139,14951,17462
371,14090,14828,16985
372,14139,14905,17293
373,14175,14955,17955
374,14164,14877,17968
375,14133,14994,17901
376,14168,14976,17269
377,14168,15082,17951
378,14158,15084,17938
379,14152,15065,17357
380,14171,15047,17435
381,14130,14881,17809
382,14147,14866,16912
383,14106,14949,16912
384,14164,14964,16756
385,14152,14906,18066
386,14152,15009,17770
387,14153,14881,17281
388,14220,15087,17294
389,14158,14979,17101
390,14152,14983,17988
391,14123,15056,18069
392,14152,15138,17130
393,14227,14999,17419
394,14174,15052,18012
395,14158,15084,17181
396,14182,15025,17036
397,14210,15076,17991
398,14152,14945,16819
399,14121,14943,17186
400,14126,14885,16849
401,14121,14903,17857
402,14143,14923,16678
403,14126,14951,17394
404,14128,15027,17818
405,14136,14899,17744
406,14127,14828,16431
407,14162,14864,17195
408,14226,15079,17982
409,14179,15054,17459
410,14215,15139,18072
411,14180,15057,17610
412,14177,15062,17454
413,14140,14988,17693
414,14112,15111,18126
415,14169,14933,16762
416,14177,14982,17253
417,14144,14977,17667
418,14160,14892,17326
419,14134,14950,16979
420,14135,14889,17797
421,14139,14833,16597
422,14155,14934,17964
423,14156,15003,17356
424,14157,14938,16868
425,14204,15006,17120
426,14140,14971,17354
427,14151,14979,16854
428,14147,14996,18047
429,14147,15108,17386
430,14199,15134,16972
431,14221,14967,17500
432,14273,15089,17310
433,14231,15050,17492
434,14242,15109,18200
435,14194,15030,18010
436,14182,15061,17201
437,14150,15010,17395
438,14201,14925,17959
439,14161,14959,17387
440,14171,15107,17358
441,14147,14864,17873
442,14150,14998,17937
443,14155,14919,17156
444,14101,15003,17199
445,14099,14939,16635
446,14099,14921,17814
447,14089,14986,18057
448,14113,14912,17838
449,14082,14951,17305
450,14092,14862,16932
451,14125,14988,17523
452,14159,15014,17344
453,14114,14916,17358
454,14141,15055,17718
455,14170,15045,17806
456,14111,14817,17320
457,14111,14921,17573
458,14113,14904,17689
459,14111,14848,17163
460,14124,14856,18130
461,14114,14987,17922
462,14111,14960,18173
463,14167,14840,17053
464,14118,14958,17987
465,14077,14951,17861
466,14119,15061,18037
467,14110,15022,17511
468,14136,14898,17415
469,14165,14861,17357
470,14112,14904,17375
471,14123,14854,17396
472,14114,14944,18006
473,14137,14892,17304
474,14115,14924,18054
475,14061,15057,18032
476,14061,15094,18057
477,14062,14940,17917
478,14100,14856,16963
479,14079,14871,17959
480,14175,14915,17897
