generation,best,avg,worst
289,14097,14894,17753
290,14161,14872,17050
291,14083,14952,17235
292,14096,14931,17472
293,14108,14895,17763
294,14083,14894,17825
295,14100,14867,16724
296,14083,14968,18024
297,14169,14982,17434
298,14117,14928,17841
299,14131,14944,18059
300,14131,15030,17217
301,14158,15013,17501
302,14113,14816,16700
303,14090,14864,17475
304,14119,15129,17824
305,14157,14944,17790
306,14117,14971,17894
307,14096,14929,17753
308,14129,14916,17830
309,14101,14930,18057
310,14180,15009,17735
311,14181,14986,17964
312,14182,15097,17602
313,14177,15010,17003
314,14135,15127,17660
315,14146,14848,16461
316,14140,14962,17847
317,14191,14996,17857
318,14144,14977,17445
319,14146,14864,17704
320,14148,14951,17839
321,14143,14961,17993
322,14132,14876,17255
323,14066,14918,18000
324,14081,14915,17918
325,14072,14982,17182
326,14066,15002,17160
327,14072,14879,17966
328,14072,14842,16867
329,14144,14923,18007
330,14126,14925,17151
331,14088,14874,17903
332,14120,14875,16753
333,14088,14977,17160
334,14109,14829,17666
335,14159,14978,17287
336,14094,14987,16961
337,14162,15058,17977
338,14175,14930,17421
339,14172,15047,17966
340,14178,14977,16772
341,14159,15011,17218
342,14117,15020,17373
343,14164,14882,17841
344,14166,14929,16894
345,14182,15085,18045
346,14128,14967,17840
347,14108,14794,17173
348,14129,14963,17021
349,14158,14844,17725
350,14146,15003,18246
351,14179,14999,17902
352,14203,15030,17294
353,14191,15015,17896
354,14206,15026,17093
355,14184,14989,18027
356,14134,14990,17840
357,14199,15145,17350
358,14176,14936,17272
359,14197,15094,17476
360,14184,15109,17570
361,14203,14963,17632
362,14185,14896,17978
363,14203,14969,17327
364,14155,14975,17729
365,14181,14966,17327
366,14172,15040,17480
367,14168,15099,17331
368,14189,14957,17154
369,14134,14896,16849
370,14114,14932,17773
371,14202,14881,16379
372,14142,14884,17361
373,14122,15074,17747
374,14181,15168,17949
375,14225,15024,17243
376,14202,15120,17350
377,14183,15016,17409
378,14168,15026,17250
