generation,best,avg,worst
289,14376,15170,17453
290,14411,15137,16591
291,14435,15067,16719
292,14413,15120,17266
293,14422,15045,16897
294,14434,15131,17330
295,14426,15191,17405
296,14426,15128,17680
297,14372,15120,16879
298,14375,15257,17348
299,14410,15117,17254
300,14390,15044,16725
301,14411,15031,16898
302,14410,15134,17066
303,14457,15094,16721
304,14450,15158,17308
305,14443,15127,16840
306,14428,14994,16758
307,14425,15089,17419
308,14413,15096,16979
309,14411,15102,16827
310,14389,15040,17267
311,14390,15141,17022
312,14404,15052,16854
313,14406,15029,16908
314,14390,15232,17264
315,14399,15040,16822
316,14388,15046,16868
317,14415,15169,17277
318,14410,15174,17082
319,14470,15163,16802
320,14430,15113,17413
321,14394,15222,17402
322,14415,15027,16667
323,14451,15205,17277
324,14469,15072,16750
325,14442,15034,17202
326,14462,15122,17283
327,14503,15129,16925
328,14501,15168,17575
329,14494,15110,16746
330,14411,15093,16811
331,14392,15174,17509
332,14407,15003,17885
333,14375,15095,17301
334,14389,15072,16776
335,14393,14994,16843
336,14343,15024,16582
337,14423,15117,17264
338,14383,15243,17395
339,14362,15140,17202
340,14401,15011,17425
341,14415,15113,16928
342,14394,15062,17003
343,14412,15082,17345
344,14367,15082,16924
345,14386,15093,17265
346,14411,15047,17134
347,14362,15125,16914
348,14396,15101,17402
349,14365,15097,17348
350,14373,14947,17305
351,14362,15065,16947
352,14360,15123,16811
353,14389,15111,17280
354,14385,15115,17278
355,14358,15084,17497
356,14361,15085,17807
357,14324,15133,17784
358,14292,15014,17774
359,14290,15041,17072
360,14286,15017,17230
361,14282,15127,17921
362,14302,15051,16962
363,14332,15077,16993
364,14353,15046,17948
365,14344,15035,17070
366,14381,15079,17669
367,14367,15077,16960
368,14366,15052,17234
369,14382,15070,17716
370,14366,15026,17012
371,14376,15133,17600
372,14376,15017,16336
373,14397,15081,16849
374,14412,15155,17847
375,14388,15105,17740
376,14378,15196,17080
377,14399,15064,17325
378,14352,15098,17236
379,14386,15126,17253
380,14351,15131,17295
381,14346,15021,17096
382,14324,15139,18044
383,14348,15105,17230
384,14324,15071,17814
385,14324,15095,17997
386,14379,15036,17358
387,14365,15120,16960
388,14351,15034,17369
389,14373,15164,17414
390,14423,15288,17411
391,14372,15138,17381
392,14395,15215,17448
393,14368,15187,18180
394,14384,15237,17720
395,14358,15168,18023
396,14357,15145,17973
397,14341,15043,17190
398,14338,15082,16819
399,14258,15007,16819
400,14268,15062,17505
401,14258,14974,17382
402,14292,15253,18126
403,14244,15076,17384
404,14290,15084,17259
405,14213,15014,16722
406,14316,15141,18094
407,14267,15056,17156
408,14292,15171,18111
409,14305,15168,17409
410,14302,15060,17964
411,14252,15056,16690
412,14289,15027,17025
413,14306,15039,17005
414,14299,15087,18001
415,14296,15048,17964
416,14314,15044,18186
417,14274,15031,17924
418,14340,15098,18063
419,14294,15107,17412
420,14327,15078,17447
421,14254,15025,17212
422,14276,15207,18046
423,14298,15099,17397
424,14365,15123,17472
425,14293,15191,17398
