generation,best,avg,worst
0,448105,468623,489139
1,436330,457093,476267
2,433487,449901,476390
3,432780,441738,470992
4,430671,437312,450417
5,429689,435229,449916
6,427512,435415,454629
7,424230,434264,450628
8,423172,430534,443025
9,419796,426822,445884
10,418833,423480,431393
11,416741,421653,432573
12,415023,420384,436738
13,413151,419971,436188
14,412330,417382,427258
15,410612,415740,430917
16,409857,414821,434643
17,409104,413186,434125
18,408448,411592,417796
19,407578,411580,424237
20,407103,411338,423851
21,406722,409905,428958
22,406710,410222,422014
23,406435,409847,420198
24,406489,409415,420871
25,405733,409091,417347
26,405719,409298,423022
27,406016,409570,423675
28,405178,409569,428842
29,404470,408955,425888
30,404138,408140,415877
31,403562,408536,426231
32,403185,407752,422405
33,403247,406880,415944
34,402304,406703,420774
35,402926,406040,412586
36,401987,406587,421212
37,401076,405526,418934
38,401288,405037,420290
39,400694,405103,414507
40,400663,405459,417187
41,400377,403899,412120
42,400484,404417,415011
43,400330,404436,418119
44,400085,404148,419229
45,399885,404107,414010
46,399540,404380,427899
47,399583,403471,411478
48,400094,403854,427781
49,398778,402838,410926
50,398318,402920,416825
51,398685,402651,414641
52,398968,403196,420295
53,398923,401965,408805
54,398392,402600,421302
55,398287,402124,414956
56,398324,401883,409747
57,398292,401842,420541
58,398129,401409,410561
59,398106,401316,415980
60,397730,401567,413142
61,397685,401752,413576
62,397720,401442,414800
63,397465,401418,413846
64,397529,400895,406959
65,397835,401564,416511
66,397168,401537,413661
67,397336,401452,414207
68,397310,401061,426521
69,396963,401067,417984
70,396646,401075,427044
71,396968,401226,421505
72,396766,401155,413442
73,396712,400865,421396
74,397114,400615,412966
75,396304,401039,414318
76,396842,400761,419638
77,396530,400880,417429
78,395886,400468,409871
79,397010,401104,416446
80,396512,401132,418428
81,396077,400368,425540
82,395458,400128,410870
83,395571,399762,417075
84,395278,398623,408548
85,394983,399262,418870
86,395191,398855,409766
87,394936,398625,416925
88,395056,398479,409521
89,395229,399261,415877
90,395194,398906,417408
91,394860,399318,411792
92,394876,399277,423011
93,394868,398881,417769
94,395044,399374,420114
95,394471,399063,413647
96,394661,398690,408099
97,394576,398090,405758
98,394646,398070,404879
99,394404,398806,424457
100,394308,399123,416606
101,394480,398905,412281
102,394559,398656,409972
103,394602,398922,421004
104,394300,398601,407061
105,394424,398463,410863
106,394443,398207,408224
107,394307,397883,408185
108,394391,399039,418003
109,394107,397906,406526
110,394037,398185,409983
111,393883,398413,408678
112,394009,398203,417003
113,394179,398142,406589
114,394103,398762,414830
115,393858,398400,411673
116,394292,398112,414452
117,394157,397952,413967
118,393848,398864,414065
119,393976,398266,411516
120,393828,397549,408230
121,393682,398119,422773
122,393436,398264,411789
123,393728,397932,409766
124,393888,397767,412589
125,393627,397339,409767
126,394185,397991,410633
127,393720,397894,407266
128,394329,397539,406504
129,393656,397754,405428
130,393631,398051,411230
131,393732,397906,409396
132,393391,397361,402152
133,393163,397329,408493
134,393592,397218,404393
135,393487,397631,405628
136,393368,397624,410724
137,393876,397395,406779
138,393764,397895,409735
139,393393,397281,406681
140,393296,396953,406853
141,393541,397823,413926
142,393004,397059,412843
143,393797,397319,413800
144,393582,398400,411736
145,393352,397662,409260
146,393196,397469,410838
147,393123,396791,405149
148,392883,397853,412841
149,393422,397246,412576
150,392953,397300,414762
151,393239,397562,409809
152,393433,396838,409143
153,392583,396875,412695
154,392772,396837,406203
155,393219,396946,408854
156,392703,396819,406584
157,393085,397331,412655
158,392596,397250,410153
159,393151,397211,409640
160,391997,397032,407486
161,392324,396817,409175
162,392613,396755,408059
163,392179,396806,409946
164,392132,396982,414315
165,391906,396676,407094
166,391709,396274,407184
167,391960,396266,410774
168,391475,396061,407839
169,391527,395592,407666
170,391826,396071,409346
171,391768,395960,405773
172,391838,396315,408142
173,391879,396152,405938
174,392045,396316,411876
175,391440,396082,412766
176,391997,396113,412082
177,392026,396128,407595
178,392181,395941,411326
179,392001,396202,418053
180,391486,395791,405306
181,391748,396013,405724
182,391868,396203,407815
183,391911,396069,406219
184,391909,396026,410357
185,391884,395719,403531
186,391598,395935,404854
187,391363,395870,412146
188,391666,395428,406127
189,391820,395808,411371
190,391559,395366,404844
191,391218,395876,415220
192,391224,395234,410463
193,390994,395580,409043
194,391484,395403,415353
195,390504,395337,420629
196,390516,394938,410192
197,390319,394779,406919
198,390335,394934,414820
199,390104,394885,414490
200,390203,394367,402712
201,390016,394488,414111
202,390691,394691,414805
203,390595,394656,403823
204,390563,394464,415964
205,390969,394266,405062
206,390843,395059,405377
207,390180,395145,408796
208,390856,395269,418481
209,391073,395002,401289
210,390472,396104,417854
211,391569,395675,409744
212,390927,396351,419665
213,391165,395460,412567
214,390935,395524,417694
215,390659,395763,417701
216,390695,395930,412124
217,390507,395802,410931
218,390561,395422,416692
219,390437,395015,415949
220,390303,394489,410465
221,390217,394589,407126
222,390080,394813,417075
223,390734,394817,411142
224,390659,395081,415561
225,390279,395705,409205
226,390218,395019,406873
227,390770,394642,405614
228,390677,394588,410097
229,390949,395525,412312
230,389108,395204,406782
231,389541,394759,417178
232,389653,394829,414623
233,389748,393945,411610
234,389526,393502,403224
235,390049,394325,406038
236,390143,394753,409852
237,390408,394255,402670
238,390498,395081,407581
239,390706,394696,425649
240,390584,395102,409806
241,390609,395022,412011
242,390616,394395,415949
243,390742,394632,406187
244,390783,394766,406423
245,390741,394991,407603
246,390952,395663,415068
247,390661,394696,405235
248,390531,394752,403342
249,390883,394442,415523
250,390710,394597,415164
251,390589,394960,417109
252,390635,395141,408160
253,390678,395203,410790
254,390734,394619,406540
255,390504,394639,408490
256,390129,394303,407524
257,390085,394252,405353
258,390175,394282,402985
259,389965,394110,410762
260,390049,394359,417614
261,390073,394484,405468
262,390066,394275,406693
263,390035,394837,420790
264,389675,394362,413880
265,389523,393912,404538
266,389908,394418,406988
267,389991,394655,404811
268,390333,394187,399642
269,389933,394544,410236
270,389703,395004,414968
271,390015,394105,401385
272,390344,394750,414134
273,390417,394593,416632
274,390309,394596,403293
275,390224,394671,411840
276,390458,394257,413572
277,390538,395061,423763
278,391146,394943,416246
279,390849,395176,410493
280,390730,395633,412883
281,390527,394708,406978
282,390523,394727,409542
283,390848,394731,414797
284,390758,395179,407495
285,390886,395164,410435
286,391198,395561,414598
287,391264,395407,405506
288,391441,396025,418038
289,391419,395778,410176
290,391621,395326,404872
291,390890,395473,414233
292,390761,395875,419580
293,390419,395210,411253
294,390770,394584,408160
295,390475,394688,409648
296,390516,394270,406382
297,390694,394827,417133
298,390445,394472,421368
299,390231,394534,411560
300,390190,393890,405694
301,390441,394676,407084
302,390743,394659,413484
303,390645,394675,407581
304,390398,394402,402595
305,390449,394540,415605
306,390058,395143,415067
307,389545,394429,405248
308,389496,394470,412188
309,389350,393882,411881
310,389248,394114,406957
311,389258,393126,405694
312,389110,393218,408561
313,389418,393632,409651
314,389678,393044,400010
315,389358,393673,410254
316,389565,393931,404282
317,389642,393262,402200
318,389491,393641,421214
319,389358,393101,408811
320,389191,393310,411489
321,389396,393563,401266
322,389496,393812,414640
323,389803,394437,411019
324,389614,393939,420928
325,389351,393972,409000
326,389589,394004,408082
327,389218,393752,406666
328,389250,393487,414332
329,389186,394426,418215
330,389123,393895,412597
331,389077,393105,421582
332,388513,393977,414169
333,388221,393696,404169
334,388478,392995,405833
335,388348,392852,407716
336,388573,392514,406657
337,388589,392760,410252
338,388491,392937,400727
339,387903,393039,411730
340,387973,392434,415379
341,388367,392219,402967
342,388090,392385,404650
343,388289,393244,410171
344,388009,392730,404193
345,387735,392792,409239
346,387945,393229,406742
347,387659,392686,407361
348,388092,392720,413538
349,387989,392909,406993
350,388397,392686,404275
351,388310,393898,415818
352,388224,392959,406287
353,387731,393156,414313
354,387945,392336,402020
355,387758,392364,402410
356,388263,393074,408384
357,387702,392695,402081
358,387992,393332,409892
359,388080,393084,411567
360,387365,392964,410134
361,387683,392869,403733
362,387955,392632,409013
363,387794,391811,403971
364,387542,392307,409920
365,387593,392117,403110
366,386980,392286,407495
367,388157,391863,402871
368,388033,392992,415107
369,387913,392414,401896
370,388003,392561,402419
371,387715,392084,407845
372,387506,391799,401767
373,387523,392255,411604
374,387932,391686,401393
375,387482,392024,408393
376,387346,392065,400510
377,387866,391906,410589
378,387830,392328,408462
379,388122,392512,415049
380,387558,392070,400742
381,387831,392833,413903
382,388302,392494,402010
383,388451,392770,412302
384,388408,392356,402275
385,388334,392541,399606
386,387929,392444,405794
387,388304,392412,405131
388,388511,392920,403132
389,388634,393436,411142
390,388525,393301,409812
391,388478,392827,407427
392,388541,393096,404679
393,388402,393423,409176
394,388848,393484,411588
395,388773,393634,410866
396,388541,393825,412541
397,388859,393088,412249
398,388734,393171,402291
399,389034,393314,403331
400,388666,393494,406535
401,389011,393247,403607
402,388653,393418,404155
403,388723,393269,407711
404,388882,393418,413508
405,389457,394133,412654
406,388358,394536,412955
407,388314,394003,409993
408,388874,393353,408378
409,388772,393679,408855
410,388981,393525,408178
411,389215,394234,412046
412,388865,394223,409728
413,389199,393855,416850
414,388955,393561,404245
415,389411,394169,410723
416,388875,393698,414225
417,388920,393085,403512
418,389275,393801,407387
419,388655,392872,404576
420,389623,393106,404105
421,389207,392997,407341
422,389071,393456,401132
423,389536,393814,410108
424,389539,393424,400336
425,388835,394353,412828
426,388591,393315,417904
427,389626,393196,401225
428,388311,393509,409790
429,388501,393133,406361
430,387999,393576,415322
431,387440,392454,406522
432,388049,392004,407612
433,387974,392351,402680
434,387918,392300,409815
435,388232,392677,411965
436,387735,392543,408011
437,388190,392922,409553
438,388109,392626,407067
439,388843,393068,408953
440,388632,393127,416778
441,389054,393197,411641
442,389025,393466,411935
443,389413,393302,406318
444,389271,393361,400862
445,388121,392708,400763
446,388211,393948,406280
447,388881,393537,408476
448,388029,393132,408527
449,387892,392967,405361
450,388359,392703,405912
451,388683,393245,416299
452,387902,392358,411443
453,387861,392681,405658
454,388503,392757,409551
455,388320,391983,400535
456,388725,392639,406659
457,388762,393137,407855
458,388249,393251,408078
459,388564,393203,402962
460,388241,392147,399483
461,387631,393140,416042
462,388190,392653,403635
463,388289,393106,411597
464,388664,392416,402753
465,387662,392832,416827
466,387474,392546,406728
467,387700,392040,401142
468,388040,392688,407664
469,388437,392783,411456
470,388370,392887,403460
471,388684,392473,400750
472,388284,392845,412809
473,388331,392917,407953
474,388277,392960,411990
475,388756,392525,410159
476,387924,393566,416668
477,388790,392588,414502
478,388337,393233,404714
479,388773,393459,409688
480,388432,393344,407494
481,389325,393578,403854
482,389087,393825,406862
483,389378,393930,407195
484,389171,393563,405043
485,388677,393502,408558
486,388317,393235,423957
487,388280,392751,407501
488,388235,392385,400880
489,388101,392160,415708
490,388090,392125,400204
491,388235,392508,407966
492,387691,392648,408861
493,387584,392345,402760
494,388351,392199,405650
495,388126,392782,413397
496,388613,392772,409426
497,388200,392895,403888
498,387713,392778,404272
499,387875,392761,406423
500,387843,392355,406657
501,387993,392620,403429
502,387507,392442,414432
503,387806,391640,399375
504,387540,392261,406928
505,387953,391512,401759
506,387430,392155,403006
507,387889,391780,401785
508,387466,392310,406293
509,387697,391846,402074
510,388071,392158,403002
511,388068,393093,411739
512,387753,392665,409167
513,387749,392988,409194
514,388001,392317,401778
515,387845,392515,410361
516,388041,392946,409072
517,387959,392156,413038
518,387660,392866,414523
519,388226,392920,410514
520,388133,392258,402222
521,388771,392807,408553
522,388066,393446,411784
523,388318,393084,408246
524,388246,392744,405688
525,388288,393020,405862
526,388249,392794,404741
527,388626,393288,411396
528,388585,393394,404095
529,388496,393067,409847
530,388537,393534,408539
531,388648,393390,410889
532,388434,392619,410113
533,388616,392866,406894
534,387663,393000,402707
535,388193,392524,410372
536,388615,392394,411316
537,388336,392912,412732
538,388164,392912,418541
539,388204,392543,410951
540,388223,393078,413632
541,388262,393016,406242
542,388291,392866,411606
543,387972,392361,403642
544,387775,392228,405190
545,387901,393823,420554
546,388363,392413,401813
547,388857,393194,411195
548,388417,393599,403992
549,388269,393139,404431
550,387848,392826,405646
551,388076,391969,400511
552,388305,392537,409279
553,387959,393227,408471
554,388106,392434,409992
555,387882,392136,413351
556,387975,392363,410381
557,387312,392167,405091
558,388259,391922,403954
559,388184,392232,404900
560,387757,392507,405122
561,387959,392754,414166
562,388279,392898,413586
563,388088,392560,413490
564,388311,393483,411512
565,387362,392513,404787
566,388247,393438,414650
567,388354,392946,408856
568,387983,392797,406182
569,387805,392395,401999
570,387922,391795,401086
571,387876,391789,410120
572,388081,391931,407520
573,388226,392092,412547
574,387570,392640,409457
575,387719,392582,406655
576,387712,392383,412324
577,387460,392381,413212
578,388028,392154,401779
579,388320,392414,410341
580,387442,392262,413749
581,386884,391939,407681
582,386657,391533,402632
583,386224,391537,404418
584,385978,391704,408422
585,386708,391470,405577
586,386545,391082,402922
587,386924,391250,412440
588,385700,391724,404364
589,386331,391043,402388
590,386563,390887,399502
591,386416,391660,411714
592,386692,391237,406430
593,386560,391004,397499
594,386746,390747,398002
595,386712,391574,406982
596,386824,391479,407414
597,387095,391439,405732
598,387154,391297,403997
599,387094,391511,409655
600,387660,391376,407479
601,387355,391722,402222
602,386523,392201,405495
603,386988,391653,403015
604,386673,391536,405034
605,387278,391649,412992
606,387200,391830,405158
607,387190,391039,398094
608,386848,391676,408589
609,387432,392008,411693
610,386962,391978,420599
611,387253,391018,403816
612,386665,391852,405587
613,387311,391394,400966
614,387361,391077,398688
615,387320,391362,400110
616,387333,391334,402169
617,386682,391569,411366
618,387253,391417,404306
619,386249,391204,401632
620,386343,391668,407093
621,386192,391124,404929
622,385925,390684,402929
623,385820,390264,400619
624,385545,390333,401147
625,385801,390434,412326
626,385443,390201,400424
627,385285,390208,402167
628,386219,390253,404992
629,386312,391158,407762
630,385903,390741,404098
631,385886,390022,401050
632,386017,390231,407628
633,385844,390466,408385
634,385944,389997,401509
635,385919,390090,401660
636,385954,390065,409744
637,385842,390737,415935
638,386452,390568,403829
639,386859,391007,414711
640,386767,391322,404391
641,386280,391741,407827
642,386569,391258,404296
643,386792,390822,402315
644,386587,390492,403491
645,386989,390809,409571
646,386870,391526,406849
647,387096,391553,405997
648,386178,391739,408084
649,386245,391492,401770
650,386424,391073,412029
651,386403,391115,411133
652,386601,390801,410173
653,386861,390861,411085
654,386767,390871,401152
655,386970,391087,409766
656,386974,391161,407648
657,386515,390657,406939
658,386503,390669,409512
659,386789,390814,400744
660,386602,391131,408938
661,386170,390434,402816
662,385793,390296,403254
663,386709,391323,410070
664,386127,391121,410318
665,386157,390667,408929
666,386743,390170,401305
667,386212,391712,415913
668,386223,392006,408342
669,386253,390761,408168
670,385916,391032,409067
671,386123,390645,402554
672,385652,390837,407797
673,385913,390801,409020
674,385624,390742,407259
675,385860,389710,401404
676,385850,390303,406929
677,385580,389782,399359
678,385493,390333,410870
679,385857,390122,401982
680,385645,390545,407099
681,385884,389914,404701
682,385844,389784,400092
683,385360,390219,411403
684,385476,390000,404918
685,385581,389801,417379
686,385740,390257,405356
687,385976,389721,397474
688,386385,390654,410835
689,386888,391337,417289
690,386583,391662,409427
691,387061,390954,403239
692,386489,391334,402095
693,386811,390707,409926
694,386019,390900,406473
695,385918,390701,398397
696,385696,390768,407923
697,385757,391281,411574
698,385603,390537,401298
699,385755,390286,405188
700,385888,389754,400163
701,385868,390319,409999
702,385725,390009,416246
703,385964,390507,403693
704,386317,390766,410317
705,385799,390722,407650
706,385769,390499,404968
707,385848,390520,403478
708,384847,390742,411647
709,385416,391467,409187
710,385385,389266,404336
711,385237,389926,413676
712,385311,390376,399672
713,385060,390195,410792
714,384964,390185,411354
715,385287,389785,404374
716,385408,389902,404172
717,385578,390150,404732
718,385547,390404,411166
719,386120,390151,402941
720,386276,390409,409962
721,386037,390692,407953
722,386151,390237,412234
723,385708,390798,405545
724,385735,390956,412578
725,386005,389828,406122
726,385555,389729,400447
727,385805,389199,404908
728,385924,390664,412288
729,385836,389686,401204
730,385447,390430,402540
731,385926,389964,408627
732,386097,390587,405204
733,385655,390401,401268
734,386019,390337,404491
735,385971,390501,408385
736,386417,390620,401642
737,386528,391266,409234
