Instance;pop_size;generations;Px;Pm;Tour;Mutation_Type;Crossover_Type;elitism;initial_temp;cooling_rate;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;EA_Best_Sequence;SA_Best;SA_Worst;SA_Avg;SA_Std;SA_Time(s);SA_NFE_Avg;SA_Best_Sequence;Best_Known_Value
tai100_10_0.fsp;100;1000;1;1;20;swap;pmx;0;1000;0.999;309546.0;314826.0;312229.1;1780.25;1321.076;100000;[69, 57, 60, 76, 11, 71, 82, 36, 43, 19, 34, 14, 27, 16, 63, 42, 26, 44, 39, 4, 58, 59, 52, 20, 12, 90, 35, 28, 86, 95, 66, 87, 29, 25, 46, 41, 54, 38, 37, 48, 6, 32, 30, 55, 83, 9, 68, 62, 8, 92, 56, 84, 99, 15, 98, 79, 97, 93, 61, 17, 1, 73, 40, 13, 80, 64, 7, 23, 72, 51, 77, 53, 67, 49, 45, 89, 85, 94, 47, 78, 2, 81, 50, 91, 5, 10, 31, 21, 65, 70, 18, 74, 3, 24, 88, 75, 22, 0, 33, 96];308436.0;316810.0;311408.7;2610.66;1118.367;100000;[69, 20, 60, 76, 34, 57, 86, 82, 44, 26, 28, 48, 11, 92, 43, 36, 19, 63, 52, 58, 66, 73, 90, 78, 39, 14, 79, 71, 88, 23, 37, 99, 35, 16, 38, 25, 13, 59, 18, 27, 94, 51, 81, 93, 95, 6, 32, 42, 49, 45, 61, 89, 98, 77, 97, 7, 83, 55, 4, 12, 10, 50, 72, 62, 64, 8, 70, 80, 30, 84, 68, 75, 41, 46, 29, 87, 33, 1, 2, 15, 53, 9, 96, 17, 54, 21, 3, 85, 91, 40, 0, 74, 24, 56, 65, 31, 47, 5, 67, 22];300566
tai100_20_0.fsp;100;1000;1;1;20;swap;pmx;0;1000;0.999;381243.0;388043.0;384784.3;2336.65;3392.514;100000;[53, 0, 77, 4, 7, 58, 76, 27, 91, 42, 2, 50, 46, 73, 8, 79, 3, 35, 81, 96, 89, 83, 39, 11, 64, 20, 37, 24, 40, 68, 18, 87, 57, 38, 72, 10, 60, 84, 88, 17, 75, 43, 78, 71, 31, 26, 74, 30, 85, 49, 61, 82, 19, 45, 29, 59, 51, 12, 67, 97, 69, 34, 54, 70, 86, 65, 25, 93, 13, 63, 16, 23, 62, 22, 33, 48, 52, 92, 55, 47, 94, 80, 41, 32, 36, 1, 28, 14, 95, 99, 44, 98, 66, 5, 56, 6, 21, 15, 90, 9];382089.0;391537.0;386257.8;2935.74;2241.122;100000;[53, 0, 77, 58, 2, 39, 78, 50, 68, 35, 37, 79, 73, 46, 74, 60, 91, 38, 59, 81, 85, 47, 82, 72, 49, 61, 4, 80, 11, 52, 7, 71, 83, 97, 42, 54, 18, 93, 3, 40, 64, 20, 27, 57, 75, 88, 10, 30, 62, 76, 31, 63, 24, 36, 43, 55, 70, 45, 96, 23, 65, 44, 89, 86, 67, 12, 8, 33, 41, 13, 17, 14, 25, 56, 29, 87, 22, 19, 66, 48, 92, 1, 99, 94, 84, 15, 69, 90, 26, 5, 98, 6, 51, 95, 16, 34, 28, 21, 9, 32];367267
